symbol,name,active
AAPL,Apple,true
MSFT,Microsoft,true
GOOGL,Google,true
JPM,JPMorgan Chase,true
XOM,Exxon Mobil,true
WLII,Willow Lane Acquisition Corp II - Class A,true
SWBI,Smith & Wesson Brands Inc,true
WT,WisdomTree Inc,true
MU,Micron Technology Inc,true
CHNU,2x Chainlink,true
RPT-P-C,Rithm Property Trust Inc,true
FIGXW,FIGX Capital Acquisition Corp - Warrants (17/06/2030),true
JAZZ,Jazz Pharmaceuticals plc,true
MINM,FiEE Inc,true
GOTU,Gaotu Techedu Inc,true
SCE-P-M,SCE Trust VII,true
WRB-P-F,W.R. Berkley Corp,true
MVST,Microvast Holdings Inc,true
MPACW,Model Performance Acquisition Corp Warrant,true
SSSSL,SuRo Capital Corp,true
NSC,Norfolk Southern Corp,true
ARBGU,Aequi Acquisition Corp - Units (1 Ord Share Class A & 1/3 War),true
TCDA,,true
VHI,Valhi Inc,true
GPI,Group 1 Automotive Inc,true
VRAX,Virax Biolabs Group Ltd - Class A,true
PRGS,Progress Software Corp,true
XBFR,Innovator Equity Managed 10 Buffer,true
SBXE,SilverBox Corp V Class A,true
CRBD,Corebridge Financial Inc,true
TPGXL,TPG Operating Group II L.P.,true
AOMD,Angel Oak Mortgage REIT Inc,true
TDY,Teledyne Technologies Inc,true
LCII,LCI Industries,true
FBP,First Bancorp PR,true
LVLU,Lulus Fashion Lounge Holdings Inc,true
OPFI,OppFi Inc - Class A,true
SOHU,Sohu.com Ltd,true
TS,Tenaris S.A.,true
AUB-P-A,Atlantic Union Bankshares Corp,true
HEMI,Hartford Equity Premium Income,true
ICNC-U,Iconic Sports Acquisition Corp Units,true
IFED,ETRACS IFED Invest with the Fed TR Index ETN,true
ARCKW,Arbor Rapha Capital Bioholdings Corp I - Warrants (31/10/2028),true
RYAM,Rayonier Advanced Materials Inc,true
AQB,AquaBounty Technologies Inc,true
TRTN-P-C,Triton International Ltd,true
JOBY-WS,Joby Aviation Inc Wt,true
SE,Sea Ltd,true
BPYPM,Brookfield Property Preferred LP,true
BACQR,Merlin Inc,true
DXC,DXC Technology Company,true
NE-WS-A,Noble Corporation plc Tranche 2 Warrants,true
SAC-WS,Safeguard Acquisition Corp Warrants each whole warrant exercisable for one Class A ordinary share at an exercise price of 11.50 per share,true
EHI-R,Western Asset Global High Income Fund Inc Rights expiring October 8 2024 Rights,true
APADR,Enhanced Group Inc,true
LBTYA,Liberty Global plc - Class A,true
BRW-R,Saba Capital Income & Opportunities Fund Rights expiring October 28 2025 Rights,true
FRHC,Freedom Holding Corp,true
USLM,United States Lime & Minerals Inc,true
PPHC,Public Policy Holding Company Inc,true
SERA,Sera Prognostics Inc Class A,true
HDRN,Hadron Energy Inc Com,true
OKUR,Reneo Pharmaceuticals Inc - Class A,true
ONMDW,OneMedNet Corp - Warrants (05/05/2026),true
MTAC,MedTech Acquisition Corp - Class A,true
BOH,Bank of Hawaii Corp,true
CRAQ,Cal Redwood Acquisition Corp,true
BEAGR,Bold Eagle Acquisition Corp Right,true
OESX,Orion Energy Systems Inc,true
WMT,Walmart Inc,true
ULTI,REX INCOMEMAX OPTION STRATEGY ETF,true
RICK,RCI Hospitality Holdings Inc,true
AMTD,AMTD IDEA Group,true
MZYX-WS,MOZAYYX Acquisition Corp - Warrants(01/01/9999),true
RLYB,Rallybio Corp,true
AHRT,American Healthcare REIT Inc - Class T,true
EQX,Equinox Gold Corp,true
STXS,Stereotaxis Inc,true
UBFO,United Security Bancshares (CA),true
NRT,North European Oil Royalty Trust,true
DOUG,Douglas Elliman Inc,true
ZVRA,Zevra Therapeutics Inc,true
MTB-P-H,M & T Bank Corp,true
PSMT,Pricesmart Inc,true
CIB,Bancolombia S.A.,true
FEIM,Frequency Electronics Inc,true
CRTO,Criteo S.A,true
KIDZW,Classover Holdings Inc Warrants,true
REYN,Reynolds Consumer Products Inc,true
EYE,National Vision Holdings Inc,true
DVXE,DEVX ENERGY INC,true
USB-P-Q,U.S. Bancorp.,true
PHG,Koninklijke Philips N.V.,true
JGH-R-W,Nuveen Global High Income Fund Rights expiring November 20 2025 Rights when issued,true
ELPW,Elong Power Holding Ltd,true
BCSS-U,Bain Capital GSS Investment Corp - Units (1 Ord Cls A & 1/5 War),true
ITT,ITT Inc,true
GEHC,GE HealthCare Technologies Inc,true
VEM,Virtus Emerging Markets Dividend,true
KMCA,PLUS Korea Manufacturing Core Alliance Index,true
AGTC,Applied Genetic Technologies Corp,true
MKL,Markel Group Inc,true
RXRX,Recursion Pharmaceuticals Inc - Class A,true
CWCO,Consolidated Water Co. Ltd,true
