symbol,name,sector,weight
A,AGILENT TECHNOLOGIES INC,-,0.058587
AA,ALCOA CORP,-,0.02054
AAL,AMERICAN AIRLINES GROUP INC,-,0.012064
AAMI,ACADIAN ASSET MANAGEMENT INC,-,0.003126
AAON,AAON INC,-,0.012168
AAP,ADVANCE AUTO PARTS INC,-,0.005329
AAPL,APPLE INC,-,6.483399
AAT,AMERICAN ASSETS TRUST INC,-,0.001725
ABBV,ABBVIE INC,-,0.563976
ABCB,AMERIS BANCORP,-,0.007014
ABG,ASBURY AUTOMOTIVE GROUP,-,0.005129
ABM,ABM INDUSTRIES INC,-,0.00374
ABNB,AIRBNB INC CLASS A,-,0.083
ABR,ARBOR REALTY TRUST INC,-,0.001481
ABT,ABBOTT LABORATORIES,-,0.225153
ACA,ARCOSA INC,-,0.008496
ACAD,ACADIA PHARMACEUTICALS INC,-,0.003832
ACGL,ARCH CAPITAL GROUP LTD,-,0.047556
ACHC,ACADIA HEALTHCARE CO INC,-,0.003297
ACI,ALBERTSONS COS INC   CLASS A,-,0.00919
ACIW,ACI WORLDWIDE INC,-,0.007135
ACLS,AXCELIS TECHNOLOGIES INC,-,0.007642
ACM,AECOM,-,0.014573
ACMR,ACM RESEARCH INC CLASS A,-,0.006726
ACN,ACCENTURE PLC CL A,-,0.154268
ACT,ENACT HOLDINGS INC,-,0.001727
ADAM,ADAMAS TRUST INC,-,0.001122
ADBE,ADOBE INC,-,0.148349
ADC,AGREE REALTY CORP,-,0.010683
ADEA,ADEIA INC,-,0.004606
ADI,ANALOG DEVICES INC,-,0.299498
ADM,ARCHER DANIELS MIDLAND CO,-,0.055162
ADMA,ADMA BIOLOGICS INC,-,0.002013
ADNT,ADIENT PLC,-,0.002946
ADP,AUTOMATIC DATA PROCESSING,-,0.134259
ADSK,AUTODESK INC,-,0.072343
ADT,ADT INC,-,0.004867
ADUS,ADDUS HOMECARE CORP,-,0.001968
AEE,AMEREN CORPORATION,-,0.03919
AEIS,ADVANCED ENERGY INDUSTRIES,-,0.017172
AEO,AMERICAN EAGLE OUTFITTERS,-,0.003883
AEP,AMERICAN ELECTRIC POWER,-,0.096133
AES,AES CORP,-,0.01443
AESI,ATLAS ENERGY SOLUTIONS INC,-,0.001622
AFG,AMERICAN FINANCIAL GROUP INC,-,0.012994
AFL,AFLAC INC,-,0.075112
AGCO,AGCO CORP,-,0.010663
AGNT,EXP WORLD HOLDINGS INC,-,0.000526
AGO,ASSURED GUARANTY LTD,-,0.005718
AGX,ARGAN INC,-,0.013725
AGYS,AGILYSYS INC,-,0.00233
AHCO,ADAPTHEALTH CORP,-,0.001367
AHR,AMERICAN HEALTHCARE REIT INC,-,0.011675
AIG,AMERICAN INTERNATIONAL GROUP,-,0.054526
AIN,ALBANY INTL CORP CL A,-,0.003093
AIR,AAR CORP,-,0.005774
AIT,APPLIED INDUSTRIAL TECH INC,-,0.018506
AIZ,ASSURANT INC,-,0.018883
AJG,ARTHUR J GALLAGHER + CO,-,0.075654
AKAM,AKAMAI TECHNOLOGIES INC,-,0.034633
AKR,ACADIA REALTY TRUST,-,0.002976
ALB,ALBEMARLE CORP,-,0.028687
ALG,ALAMO GROUP INC,-,0.002534
ALGM,ALLEGRO MICROSYSTEMS INC,-,0.005772
ALGN,ALIGN TECHNOLOGY INC,-,0.017584
ALGT,ALLEGIANT TRAVEL CO,-,0.001902
ALHC,ALIGNMENT HEALTHCARE INC,-,0.003427
ALK,ALASKA AIR GROUP INC,-,0.007746
ALKS,ALKERMES PLC,-,0.01048
ALL,ALLSTATE CORP,-,0.080166
ALLE,ALLEGION PLC,-,0.017179
ALLY,ALLY FINANCIAL INC,-,0.016721
ALRM,ALARM.COM HOLDINGS INC,-,0.002789
ALV,AUTOLIV INC,-,0.014653
AM,ANTERO MIDSTREAM CORP,-,0.009541
AMAT,APPLIED MATERIALS INC,-,0.564052
AMCR,AMCOR PLC,-,0.025296
AMD,ADVANCED MICRO DEVICES,-,1.206976
AME,AMETEK INC,-,0.075721
AMG,AFFILIATED MANAGERS GROUP,-,0.016115
AMGN,AMGEN INC,-,0.262009
AMH,AMERICAN HOMES 4 RENT  A,-,0.015232
AMKR,AMKOR TECHNOLOGY INC,-,0.011384
AMN,AMN HEALTHCARE SERVICES INC,-,0.001903
AMP,AMERIPRISE FINANCIAL INC,-,0.062387
AMPH,AMPHASTAR PHARMACEUTICALS IN,-,0.000967
AMR,ALPHA METALLURGICAL RESOURCE,-,0.003924
AMRX,AMNEAL PHARMACEUTICALS INC,-,0.003269
AMSF,AMERISAFE INC,-,0.000756
AMT,AMERICAN TOWER CORP,-,0.130526
AMTM,AMENTUM HOLDINGS INC,-,0.005054
AMZN,AMAZON.COM INC,-,3.522625
AN,AUTONATION INC,-,0.00756
ANDE,ANDERSONS INC/THE,-,0.00341
ANET,ARISTA NETWORKS INC,-,0.24214
ANF,ABERCROMBIE + FITCH CO CL A,-,0.005682
ANIP,ANI PHARMACEUTICALS INC,-,0.000734
AON,AON PLC CLASS A,-,0.1013
AORT,ARTIVION INC,-,0.001108
AOS,SMITH (A.O.) CORP,-,0.010059
AOSL,ALPHA + OMEGA SEMICONDUCTOR,-,0.001657
APA,APA CORP,-,0.019613
APAM,ARTISAN PARTNERS ASSET MA  A,-,0.003779
APD,AIR PRODUCTS + CHEMICALS INC,-,0.091139
APG,API GROUP CORP,-,0.022255
APH,AMPHENOL CORP CL A,-,0.254729
APLE,APPLE HOSPITALITY REIT INC,-,0.004866
APO,APOLLO GLOBAL MANAGEMENT INC,-,0.082644
APOG,APOGEE ENTERPRISES INC,-,0.001595
APP,APPLOVIN CORP CLASS A,-,0.216065
APPF,APPFOLIO INC   A,-,0.005044
APTV,APTIV PLC,-,0.0227
AR,ANTERO RESOURCES CORP,-,0.015282
ARCB,ARCBEST CORP,-,0.005961
ARE,ALEXANDRIA REAL ESTATE EQUIT,-,0.011993
ARES,ARES MANAGEMENT CORP   A,-,0.038062
ARI,APOLLO COMMERCIAL REAL ESTAT,-,0.001966
ARLO,ARLO TECHNOLOGIES INC,-,0.001499
ARMK,ARAMARK,-,0.020315
AROC,ARCHROCK INC,-,0.005509
ARR,ARMOUR RESIDENTIAL REIT INC,-,0.000579
ARW,ARROW ELECTRONICS INC,-,0.017944
ARWR,ARROWHEAD PHARMACEUTICALS IN,-,0.011069
ASB,ASSOCIATED BANC CORP,-,0.006414
ASH,ASHLAND INC,-,0.004448
ASO,ACADEMY SPORTS + OUTDOORS IN,-,0.006256
ASTE,ASTEC INDUSTRIES INC,-,0.001592
ASTH,ASTRANA HEALTH INC,-,0.00128
ATEN,A10 NETWORKS INC,-,0.002882
ATI,ATI INC,-,0.034438
ATMU,ATMUS FILTRATION TECHNOLOGIE,-,0.005473
ATO,ATMOS ENERGY CORP,-,0.036553
ATR,APTARGROUP INC,-,0.010379
AUB,ATLANTIC UNION BANKSHARES CO,-,0.00444
AVA,AVISTA CORP,-,0.004317
AVAV,AEROVIRONMENT INC,-,0.00929
AVB,AVALONBAY COMMUNITIES INC,-,0.037876
AVGO,BROADCOM INC,-,2.821992
AVNS,AVANOS MEDICAL INC,-,0.001746
AVNT,AVIENT CORP,-,0.004068
AVT,AVNET INC,-,0.012343
AVTR,AVANTOR INC,-,0.009384
AVY,AVERY DENNISON CORP,-,0.018089
AWI,ARMSTRONG WORLD INDUSTRIES,-,0.009851
AWK,AMERICAN WATER WORKS CO INC,-,0.034609
AWR,AMERICAN STATES WATER CO,-,0.00396
AX,AXOS FINANCIAL INC,-,0.007083
AXON,AXON ENTERPRISE INC,-,0.052992
AXP,AMERICAN EXPRESS CO,-,0.235268
AXTA,AXALTA COATING SYSTEMS LTD,-,0.010224
AYI,ACUITY INC,-,0.013797
AZO,AUTOZONE INC,-,0.072092
AZTA,AZENTA INC,-,0.00193
AZZ,AZZ INC,-,0.00628
BA,BOEING CO/THE,-,0.239887
BAC,BANK OF AMERICA CORP,-,0.505136
BAH,BOOZ ALLEN HAMILTON HOLDINGS,-,0.01181
BALL,BALL CORP,-,0.019234
BANC,BANC OF CALIFORNIA INC,-,0.00374
BANF,BANCFIRST CORP,-,0.002747
BANR,BANNER CORPORATION,-,0.002956
BAX,BAXTER INTERNATIONAL INC,-,0.014293
BBT,BEACON FINANCIAL CORP,-,0.003351
BBWI,BATH + BODY WORKS INC,-,0.006047
BBY,BEST BUY CO INC,-,0.020721
BC,BRUNSWICK CORP,-,0.00814
BCC,BOISE CASCADE CO,-,0.003837
BCO,BRINK S CO/THE,-,0.007217
BCPC,BALCHEM CORP,-,0.007282
BDC,BELDEN INC,-,0.006613
BDX,BECTON DICKINSON AND CO,-,0.062435
BEN,FRANKLIN RESOURCES INC,-,0.013082
BF-B,BROWN FORMAN CORP CLASS B,-,0.006767
BFAM,BRIGHT HORIZONS FAMILY SOLUT,-,0.004949
BFH,BREAD FINANCIAL HOLDINGS INC,-,0.005687
BFS,SAUL CENTERS INC,-,0.000905
BG,BUNGE GLOBAL SA,-,0.02793
BGC,BGC GROUP INC A,-,0.005896
BHE,BENCHMARK ELECTRONICS INC,-,0.004398
BHF,BRIGHTHOUSE FINANCIAL INC,-,0.004909
BIIB,BIOGEN INC,-,0.041659
BILL,BILL HOLDINGS INC,-,0.004905
BIO,BIO RAD LABORATORIES A,-,0.00827
BJ,BJ S WHOLESALE CLUB HOLDINGS,-,0.016748
BJRI,BJ S RESTAURANTS INC,-,0.001793
BKE,BUCKLE INC/THE,-,0.001854
BKH,BLACK HILLS CORP,-,0.006659
BKNG,BOOKING HOLDINGS INC,-,0.190726
BKR,BAKER HUGHES CO,-,0.096716
BKU,BANKUNITED INC,-,0.006053
BL,BLACKLINE INC,-,0.00209
BLD,TOPBUILD CORP,-,0.018997
BLDR,BUILDERS FIRSTSOURCE INC,-,0.013252
BLFS,BIOLIFE SOLUTIONS INC,-,0.001239
BLK,BLACKROCK INC,-,0.207253
BLKB,BLACKBAUD INC,-,0.001996
BMI,BADGER METER INC,-,0.005564
BMRN,BIOMARIN PHARMACEUTICAL INC,-,0.015591
BMY,BRISTOL MYERS SQUIBB CO,-,0.166832
BNL,BROADSTONE NET LEASE INC,-,0.005431
BNY,BANK OF NEW YORK MELLON CORP,-,0.141817
BOH,BANK OF HAWAII CORP,-,0.004684
BOOT,BOOT BARN HOLDINGS INC,-,0.005345
BOX,BOX INC   CLASS A,-,0.005567
BR,BROADRIDGE FINANCIAL SOLUTIO,-,0.026098
BRBR,BELLRING BRANDS INC,-,0.001656
BRC,BRADY CORPORATION   CL A,-,0.006309
BRK-B,BERKSHIRE HATHAWAY INC CL B,-,1.248269
BRKR,BRUKER CORP,-,0.008849
BRO,BROWN + BROWN INC,-,0.023953
BROS,DUTCH BROS INC CLASS A,-,0.010068
BRX,BRIXMOR PROPERTY GROUP INC,-,0.01324
BSX,BOSTON SCIENTIFIC CORP,-,0.10399
BSY,BENTLEY SYSTEMS INC CLASS B,-,0.007029
BTSG,BRIGHTSPRING HEALTH SERVICES,-,0.010805
BTU,PEABODY ENERGY CORP,-,0.005031
BURL,BURLINGTON STORES INC,-,0.030079
BWA,BORGWARNER INC,-,0.026666
BWXT,BWX TECHNOLOGIES INC,-,0.025386
BX,BLACKSTONE INC,-,0.122584
BXMT,BLACKSTONE MORTGAGE TRU CL A,-,0.004603
BXP,BXP INC,-,0.012867
BYD,BOYD GAMING CORP,-,0.009957
C,CITIGROUP INC,-,0.332638
CABO,CABLE ONE INC,-,0.001966
CACI,CACI INTERNATIONAL INC  CL A,-,0.016218
CAG,CONAGRA BRANDS INC,-,0.00889
CAH,CARDINAL HEALTH INC,-,0.065243
CAKE,CHEESECAKE FACTORY INC/THE,-,0.003955
CALM,CAL MAINE FOODS INC,-,0.004059
CALX,CALIX INC,-,0.003126
CALY,CALLAWAY GOLF COMPANY,-,0.002341
CAR,AVIS BUDGET GROUP INC,-,0.004812
CARG,CARGURUS INC,-,0.00346
CARR,CARRIER GLOBAL CORP,-,0.077468
CART,MAPLEBEAR INC,-,0.009719
CASH,PATHWARD FINANCIAL INC,-,0.003812
CASY,CASEY S GENERAL STORES INC,-,0.037491
CAT,CATERPILLAR INC,-,0.618274
CATY,CATHAY GENERAL BANCORP,-,0.006295
CAVA,CAVA GROUP INC,-,0.008441
CB,CHUBB LTD,-,0.161538
CBOE,CBOE GLOBAL MARKETS INC,-,0.045102
CBRE,CBRE GROUP INC   A,-,0.053625
CBRL,CRACKER BARREL OLD COUNTRY,-,0.001112
CBSH,COMMERCE BANCSHARES INC,-,0.010189
CBT,CABOT CORP,-,0.006891
CBU,COMMUNITY FINANCIAL SYSTEM I,-,0.004891
CC,CHEMOURS CO/THE,-,0.005034
CCI,CROWN CASTLE INC,-,0.05872
CCK,CROWN HOLDINGS INC,-,0.016282
CCL,CARNIVAL CORP LTD,-,0.041118
CCOI,COGENT COMMUNICATIONS HOLDIN,-,0.001094
CCS,CENTURY COMMUNITIES INC,-,0.001821
CDNS,CADENCE DESIGN SYS INC,-,0.162221
CDP,COPT DEFENSE PROPERTIES,-,0.005469
CDW,CDW CORP/DE,-,0.027169
CE,CELANESE CORP,-,0.007939
CEG,CONSTELLATION ENERGY,-,0.117077
CELH,CELSIUS HOLDINGS INC,-,0.005994
CENT,CENTRAL GARDEN + PET CO,-,0.000803
CENTA,CENTRAL GARDEN AND PET CO A,-,0.002724
